Item,Total,check
石レンガ,194831,0
石,57439,0
安山岩,56619,0
石レンガの塀,43601,0
石レンガの階段,38502,0
石レンガのハーフブロック,36473,0
磨かれたブラックストーンレンガ,12446,0
磨かれたブラックストーンレンガの階段,11799,0
黒色の色付きガラス,7343,0
磨かれたブラックストーンレンガのハーフブロック,6064,1
滑らかな石,3901,0
磨かれた安山岩,3149,0
磨かれたブラックストーンレンガの塀,2771,0
鉄格子,1284,0
ランタン,435,0
石炭ブロック,353,0
安山岩の塀,264,0
赤色のテラコッタ,256,0
磨かれた閃緑岩,202,0
磨かれたブラックストーン,132,0
黄色のコンクリート,124,0
緑色のコンクリート,120,0
黄色の色付きガラス,68,0
石のハーフブロック,60,0
ダークプリズマリンの階段,58,0
安山岩のハーフブロック,44,0
磨かれた安山岩の階段,42,0
滑らかなクォーツブロック,40,0
閃緑岩,30,0
樹皮を剥いだダークオークの原木,20,0
滑らかなクォーツのハーフブロック,20,0
グロウストーン,16,0
滑らかなクォーツの階段,13,0
磨かれた安山岩のハーフブロック,11,0
滑らかな砂岩の階段,7,0
ダークプリズマリンのハーフブロック,6,0
トウヒの板材,6,0
滑らかな砂岩,6,0
トウヒの階段,4,0
チェスト,3,0
トウヒのトラップドア,3,0
オークのボタン,2,0
クォーツの階段,2,0
クォーツブロック,2,0
トウヒのハーフブロック,2,0
滑らかな砂岩のハーフブロック,2,0
模様入りの石レンガ,1,0
花崗岩,1,0
鉄のトラップドア,1,0
Item,Total,check
